City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
161,Saint-Philippe,RE,2021-07-31 18:06:14,-21.3585,55.7679,71.19,79,48,14.52,scattered clouds
162,Wonthaggi,AU,2021-07-31 18:06:14,-38.6044,145.5913,48.7,86,100,12.08,overcast clouds
163,Tahe,CN,2021-07-31 18:06:15,52.3333,124.7333,50.74,99,100,6.06,moderate rain
164,Northam,GB,2021-07-31 18:06:15,51.0333,-4.2167,66.34,90,67,9.42,broken clouds
165,Kruisfontein,ZA,2021-07-31 18:06:16,-34.0033,24.7314,57.88,63,72,1.68,broken clouds
166,Berbera,SO,2021-07-31 18:06:16,10.4396,45.0143,91.94,37,37,23.35,scattered clouds
167,Lebu,CL,2021-07-31 18:06:17,-37.6167,-73.65,52.47,61,44,15.41,scattered clouds
168,Hay River,CA,2021-07-31 18:06:17,60.8156,-115.7999,75.9,46,0,10.0,clear sky
169,Itarema,BR,2021-07-31 18:06:18,-2.9248,-39.9167,85.37,56,73,17.87,broken clouds
170,Mecca,SA,2021-07-31 18:01:21,21.4267,39.8261,90.72,46,100,13.29,overcast clouds
171,Dunedin,NZ,2021-07-31 18:06:18,-45.8742,170.5036,50.81,84,100,15.01,light rain
172,Sinnamary,GF,2021-07-31 18:06:19,5.3833,-52.95,85.42,65,87,8.25,overcast clouds
173,Tecpan,GT,2021-07-31 18:06:19,14.7623,-90.9947,70.56,55,6,7.34,clear sky
174,Ishigaki,JP,2021-07-31 18:06:20,24.3448,124.1572,83.35,84,100,20.67,overcast clouds
175,Poum,NC,2021-07-31 18:06:20,-20.2333,164.0167,68.16,59,4,17.69,clear sky
176,Alofi,NU,2021-07-31 18:06:20,-19.0595,-169.9187,77.72,88,100,23.47,overcast clouds
177,Miles City,US,2021-07-31 18:03:24,46.4083,-105.8406,90.57,22,1,10.36,clear sky
178,Raton,US,2021-07-31 18:06:21,36.9034,-104.4391,80.06,48,1,1.01,clear sky
179,Port Hedland,AU,2021-07-31 18:06:22,-20.3167,118.5667,60.85,59,3,8.05,clear sky
180,Aklavik,CA,2021-07-31 18:06:22,68.2191,-135.0107,67.84,54,74,3.13,broken clouds
181,Chokurdakh,RU,2021-07-31 18:06:22,70.6333,147.9167,36.3,82,100,20.58,overcast clouds
182,Canmore,CA,2021-07-31 18:06:23,51.0834,-115.3521,83.25,17,2,1.23,clear sky
183,Mandera,KE,2021-07-31 18:06:23,3.9366,41.867,86.16,37,99,21.56,overcast clouds
184,Bilma,NE,2021-07-31 18:06:24,18.6853,12.9164,102.09,10,84,5.73,broken clouds
185,Fortuna,US,2021-07-31 18:06:24,40.5982,-124.1573,84.42,86,1,11.5,clear sky
186,Grand Gaube,MU,2021-07-31 18:06:24,-20.0064,57.6608,69.39,69,2,4.0,clear sky
187,Quatre Cocos,MU,2021-07-31 18:06:25,-20.2078,57.7625,69.1,64,10,16.73,clear sky
188,Valer,NO,2021-07-31 18:06:25,60.6785,11.8331,65.89,95,100,3.24,overcast clouds
189,Mount Gambier,AU,2021-07-31 18:06:26,-37.8333,140.7667,44.69,84,100,6.13,overcast clouds
190,Cockburn Town,TC,2021-07-31 18:06:26,21.4612,-71.1419,85.96,66,40,12.66,scattered clouds
191,Denpasar,ID,2021-07-31 18:06:27,-8.65,115.2167,78.46,89,20,10.36,few clouds
192,Goose Creek,US,2021-07-31 18:06:27,32.981,-80.0326,95.9,68,75,1.99,broken clouds
193,Upernavik,GL,2021-07-31 18:06:28,72.7868,-56.1549,43.61,75,98,4.25,overcast clouds
194,Iqaluit,CA,2021-07-31 18:06:28,63.7506,-68.5145,47.95,64,73,7.76,broken clouds
195,Kirillov,RU,2021-07-31 18:06:28,59.863,38.3813,60.73,85,81,9.26,broken clouds
196,Lagoa,PT,2021-07-31 18:06:29,39.05,-27.9833,71.46,78,52,9.1,broken clouds
197,Grand-Lahou,CI,2021-07-31 18:06:29,5.1367,-5.0242,77.2,84,53,9.37,light rain
198,Lander,US,2021-07-31 18:03:23,42.833,-108.7307,78.12,68,90,3.44,overcast clouds
199,Nikolskoye,RU,2021-07-31 18:06:30,59.7035,30.7861,69.69,68,8,3.6,clear sky
200,Sutton,GB,2021-07-31 18:06:30,51.35,-0.2,65.89,89,20,1.01,few clouds
201,Nizwa,OM,2021-07-31 18:06:31,22.9333,57.5333,96.67,32,43,4.23,scattered clouds
202,Tomatlan,MX,2021-07-31 18:06:31,19.9333,-105.25,84.45,70,100,2.73,overcast clouds
203,Hongjiang,CN,2021-07-31 18:06:32,27.11,109.9956,79.99,73,95,2.19,overcast clouds
204,Hambantota,LK,2021-07-31 18:01:35,6.1241,81.1185,79.95,80,93,17.96,overcast clouds
