City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Kavieng,PG,2021-07-28 05:21:04,-2.5744,150.7967,83.93,73,19,6.91
92,Hermanus,ZA,2021-07-28 05:21:04,-34.4187,19.2345,50.9,64,99,10.58
93,Vyzhnytsya,UA,2021-07-28 05:21:05,48.248,25.1945,70.52,70,42,4.76
94,Georgetown,MY,2021-07-28 05:17:10,5.4112,100.3354,91.35,57,20,9.22
95,Miraflores,MX,2021-07-28 05:21:05,19.2167,-98.8083,64.02,82,95,1.23
96,Zhezkazgan,KZ,2021-07-28 05:21:06,47.8043,67.7144,75.9,25,4,10.71
97,Newburgh,US,2021-07-28 05:21:06,41.5034,-74.0104,70.14,85,75,1.01
98,Atuona,PF,2021-07-28 05:19:54,-9.8,-139.0333,78.04,69,8,18.03
99,Saint George,US,2021-07-28 05:17:03,37.1041,-113.5841,86.63,39,1,8.99
100,Sitka,US,2021-07-28 05:17:11,57.0531,-135.33,60.69,77,75,0.0
101,Guerrero Negro,MX,2021-07-28 05:21:07,27.9769,-114.0611,70.0,83,22,14.27
102,Khatanga,RU,2021-07-28 05:21:08,71.9667,102.5,88.34,34,23,17.78
103,Marsa Matruh,EG,2021-07-28 05:21:08,31.3525,27.2453,79.59,68,0,9.71
104,Dikson,RU,2021-07-28 05:19:53,73.5069,80.5464,37.31,98,100,14.72
105,Bara,NG,2021-07-28 05:21:09,10.3744,10.7288,70.38,95,100,2.84
106,Mataura,NZ,2021-07-28 05:19:21,-46.1927,168.8643,51.48,89,87,2.39
107,Tandil,AR,2021-07-28 05:17:44,-37.3217,-59.1332,39.11,89,69,7.0
108,Leningradskiy,RU,2021-07-28 05:21:10,69.3833,178.4167,33.46,99,100,9.93
109,Zhigansk,RU,2021-07-28 05:21:10,66.7697,123.3711,68.38,47,39,6.42
110,Alihe,CN,2021-07-28 05:21:11,50.5667,123.7167,81.5,45,22,7.65
111,Hobyo,SO,2021-07-28 05:21:11,5.3505,48.5268,77.58,74,99,21.0
112,Bengkulu,ID,2021-07-28 05:21:11,-3.8004,102.2655,85.03,61,57,8.7
113,Usak,TR,2021-07-28 05:21:12,38.5,29.4167,71.58,42,0,17.07
114,Fortuna,US,2021-07-28 05:21:12,40.5982,-124.1573,69.42,94,20,0.0
115,Bambous Virieux,MU,2021-07-28 05:21:13,-20.3428,57.7575,70.05,78,75,18.41
116,Tuatapere,NZ,2021-07-28 05:21:13,-46.1333,167.6833,50.83,78,72,2.62
117,Alyangula,AU,2021-07-28 05:21:14,-13.8483,136.4192,79.03,67,47,7.63
118,Chokurdakh,RU,2021-07-28 05:19:04,70.6333,147.9167,50.7,45,38,15.61
119,Severo-Kurilsk,RU,2021-07-28 05:21:14,50.6789,156.125,58.64,90,100,6.62
120,Upernavik,GL,2021-07-28 05:21:15,72.7868,-56.1549,49.05,76,99,5.64
121,Mangai,CD,2021-07-28 05:21:15,-4.05,19.5333,62.17,32,4,1.86
122,Cabo San Lucas,MX,2021-07-28 05:19:53,22.8909,-109.9124,85.6,73,6,1.99
123,Hilo,US,2021-07-28 05:21:16,19.7297,-155.09,74.93,90,90,3.44
124,Moerai,PF,2021-07-28 05:21:16,-22.4333,-151.3333,74.07,68,71,11.12
125,Lebu,CL,2021-07-28 05:21:17,-37.6167,-73.65,43.99,81,0,16.42
126,Avarua,CK,2021-07-28 05:21:17,-21.2078,-159.775,69.85,83,13,1.14
127,Toora-Khem,RU,2021-07-28 05:21:17,52.4675,96.11,63.86,89,100,1.72
128,Kariapatti,IN,2021-07-28 05:21:18,9.6751,78.0999,95.52,43,40,9.22
129,Half Moon Bay,US,2021-07-28 05:21:18,37.4636,-122.4286,74.52,83,1,0.0
130,Todos Santos,MX,2021-07-28 05:21:19,23.45,-110.2167,85.1,86,4,6.17
131,Adrar,MR,2021-07-28 05:21:19,20.5022,-10.0711,83.03,39,100,9.8
132,Bluff,NZ,2021-07-28 05:19:08,-46.6,168.3333,51.8,74,44,1.19
133,Kadaura,IN,2021-07-28 05:21:20,25.9833,79.85,77.9,95,100,7.87
134,Qinhuangdao,CN,2021-07-28 05:21:20,39.9317,119.5883,85.05,60,98,6.22
135,Cayenne,GF,2021-07-28 05:21:21,4.9333,-52.3333,81.09,82,0,1.99
136,Huarmey,PE,2021-07-28 05:21:21,-10.0681,-78.1522,64.89,87,36,8.79
137,Nishihara,JP,2021-07-28 05:21:21,26.1842,127.7558,92.86,77,75,21.85
138,Butaritari,KI,2021-07-28 05:21:22,3.0707,172.7902,81.84,72,100,5.35
139,Huautla,MX,2021-07-28 05:21:22,21.0333,-98.2833,70.11,90,72,4.12
140,Kudahuvadhoo,MV,2021-07-28 05:21:23,2.6708,72.8944,80.47,75,100,5.99
141,Sola,VU,2021-07-28 05:21:23,-13.8833,167.55,78.98,80,41,22.08
142,Tessalit,ML,2021-07-28 05:21:24,20.1986,1.0114,85.66,46,80,11.18
143,Shetpe,KZ,2021-07-28 05:21:24,44.1667,52.1167,73.08,29,100,6.31
144,Nanortalik,GL,2021-07-28 05:21:24,60.1432,-45.2371,43.75,84,100,3.04
145,Bodden Town,KY,2021-07-28 05:21:25,19.2833,-81.25,77.94,90,100,10.65
146,Hanna,CA,2021-07-28 05:21:25,51.6334,-111.9018,67.51,44,96,9.69
147,Dukat,RU,2021-07-28 05:21:26,62.55,155.55,44.4,71,100,9.26
148,Ambon,ID,2021-07-28 05:21:26,-3.6954,128.1814,84.34,74,40,10.36
149,Rio Gallegos,AR,2021-07-28 05:21:26,-51.6226,-69.2181,41.05,87,0,5.75
