City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
302,Wajir,KE,82.02,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
306,Bintulu,MY,79.12,scattered clouds,3.1667,113.0333,900 Boutique INN
311,Tual,ID,80.87,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
312,Gilgit,PK,82.17,overcast clouds,35.9221,74.3087,Tourist Hamlet Gilgit
315,Labuhan,ID,76.08,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
321,Shenjiamen,CN,78.96,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
325,Shahpura,IN,78.13,broken clouds,27.3833,75.9667,Shahpura Haveli
330,Gigmoto,PH,80.92,overcast clouds,13.7796,124.39,Cj's Travellers Inn
332,Road Town,VG,87.21,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
333,Salinopolis,BR,80.82,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
334,Bull Savanna,JM,87.53,clear sky,17.8868,-77.5902,Big Red's
335,Beruwala,LK,79.14,overcast clouds,6.4788,79.9828,The Palms Hotel
338,Saquena,PE,88.0,few clouds,-4.6667,-73.5167,
339,Sterling,US,84.11,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
341,Korcula,HR,82.6,clear sky,42.9622,17.1369,Marko Polo Hotel by Aminess
342,Green,US,76.87,scattered clouds,40.9459,-81.4832,Fairfield Inn & Suites by Marriott Akron South
343,Dunmore Town,BS,83.88,few clouds,25.5,-76.65,Coral Sands Hotel
346,Baghmara,IN,78.01,overcast clouds,23.795,86.2085,Shankar tea shop
348,Wewak,PG,77.56,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
352,Yatou,CN,76.06,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
353,Guatire,VE,84.7,few clouds,10.4762,-66.5427,Parque Residencial Canaima I
355,Blonie,PL,77.14,overcast clouds,52.1985,20.6171,"Derby. Zajazd, restauracja"
356,Portland,US,84.52,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
358,Tshikapa,CD,81.86,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
360,Bosaso,SO,87.06,overcast clouds,11.2842,49.1816,Red Sea Hotel
361,Xuchang,CN,80.76,clear sky,34.0167,113.8167,Super 8 Hotel
362,Pacifica,US,81.27,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
365,Ca Mau,VN,77.76,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
367,Sechura,PE,78.03,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
372,Aguimes,ES,77.67,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
375,Sao Paulo De Olivenca,BR,85.93,overcast clouds,-3.3783,-68.8725,
376,Gonda,IN,81.03,broken clouds,27.1333,81.9333,Capital O 41566 Golden Fairy Resort
380,Sao Domingos,BR,89.11,scattered clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
381,Zlobin,HR,76.3,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
387,San Jose De Rio Tinto,HN,83.77,broken clouds,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
389,Vanimo,PG,77.0,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
390,Volgodonsk,RU,82.53,broken clouds,47.5136,42.1514,Kovcheg
397,Montoro,ES,88.47,scattered clouds,38.0241,-4.3834,Hotel Mirador De Montoro
402,Turbat,PK,85.53,broken clouds,26.0023,63.044,Mubashar Quarters
403,Tucuma,BR,82.51,light rain,-0.1833,-50.05,
